Date,Amount,Category,Comment
05-01-2023,500,Income,Freelance Work Payment
10-01-2023,200,Expense,Groceries
15-01-2023,150,Expense,Utility Bill
20-01-2023,300,Income,Stock Dividend
25-01-2023,50,Expense,Transport
01-02-2023,800,Income,Part-Time Job Payment
05-02-2023,100,Expense,Restaurant
10-02-2023,200,Expense,Shopping
15-02-2023,1200,Income,Bonus
20-02-2023,50,Expense,Coffee
28-02-2023,500,Expense,Rent
01-03-2023,150,Expense,Internet Bill
05-03-2023,50,Expense,Entertainment
10-03-2023,300,Income,Gift
15-03-2023,250,Expense,Medical Expense
20-03-2023,600,Income,Consulting Fee
25-03-2023,100,Expense,Subscription
30-03-2023,400,Expense,Car Repair
05-04-2023,500,Income,Side Business
10-04-2023,150,Expense,Pet Food
15-04-2023,700,Income,Rental Income
20-04-2023,100,Expense,Office Supplies
25-04-2023,200,Expense,Travel
01-05-2023,1000,Income,Project Completion Bonus
05-05-2023,75,Expense,Gift for Friend
10-05-2023,300,Expense,New Clothes
15-05-2023,600,Income,Freelance Contract
20-05-2023,50,Expense,Books
25-05-2023,400,Expense,New Phone Accessory
01-06-2023,850,Income,Salary Increment
05-06-2023,200,Expense,Groceries
10-06-2023,150,Expense,Water Bill
15-06-2023,700,Income,Stock Sale Profit
20-06-2023,120,Expense,Mobile Recharge
25-06-2023,500,Expense,Home Maintenance
01-07-2023,1000,Income,Freelance Web Design
05-07-2023,100,Expense,Movie Tickets
10-07-2023,250,Expense,Weekend Getaway
15-07-2023,300,Income,Bonus Payment
20-07-2023,50,Expense,Snacks
25-07-2023,400,Expense,Pet Vet Visit
01-08-2023,900,Income,Quarterly Bonus
05-08-2023,100,Expense,Music Subscription
10-08-2023,250,Expense,Home Decor
15-08-2023,500,Income,Commission
20-08-2023,150,Expense,Dining Out
25-08-2023,300,Expense,Gym Membership
01-09-2023,1200,Income,Salary
05-09-2023,200,Expense,New Shoes
10-09-2023,100,Expense,Gas
15-09-2023,600,Income,Part-Time Consulting
20-09-2023,75,Expense,Online Course
25-09-2023,500,Expense,Annual Insurance Payment
